cwe,precision,recall,f1,accuracy
78,0.9897959183673469,0.9897959183673469,0.994871794871795,0.9897959183673469
121,0.9938650306748467,0.9938650306748467,0.9969230769230768,0.9938650306748467
122,0.9002079002079002,0.9002079002079002,0.9474835886214442,0.9002079002079002
123,0.96,0.96,0.9795918367346939,0.96
126,0.926829268292683,0.926829268292683,0.9620253164556963,0.926829268292683
134,0.9795221843003413,0.9795221843003413,0.9896551724137931,0.9795221843003413
188,0.09523809523809523,0.09523809523809523,0.17391304347826086,0.09523809523809523
190,0.5767326732673267,0.5767326732673267,0.7315541601255887,0.5767326732673267
191,0.6610738255033557,0.6610738255033557,0.795959595959596,0.6610738255033557
194,0.9496124031007752,0.9496124031007752,0.974155069582505,0.9496124031007752
195,0.9174876847290641,0.9174876847290641,0.9569685292228645,0.9174876847290641
196,0.6666666666666666,0.6666666666666666,0.8,0.6666666666666666
197,0.7484276729559748,0.7484276729559748,0.8561151079136691,0.7484276729559748
242,0.7916666666666666,0.7916666666666666,0.8837209302325583,0.7916666666666666
252,0.6479750778816199,0.6479750778816199,0.7863894139886578,0.6479750778816199
253,0.5522788203753352,0.5522788203753352,0.7115716753022453,0.5522788203753352
364,0.7692307692307693,0.7692307692307693,0.8695652173913044,0.7692307692307693
366,0.42105263157894735,0.42105263157894735,0.5925925925925926,0.42105263157894735
367,0.8526315789473684,0.8526315789473684,0.9204545454545454,0.8526315789473684
369,0.6294642857142857,0.6294642857142857,0.7726027397260274,0.6294642857142857
377,0.8160919540229885,0.8160919540229885,0.8987341772151898,0.8160919540229885
390,0.4230769230769231,0.4230769230769231,0.5945945945945946,0.4230769230769231
391,0.37142857142857144,0.37142857142857144,0.5416666666666666,0.37142857142857144
398,0.5080213903743316,0.5080213903743316,0.6737588652482269,0.5080213903743316
400,0.7866108786610879,0.7866108786610879,0.8805620608899297,0.7866108786610879
401,0.9090909090909091,0.9090909090909091,0.9523809523809523,0.9090909090909091
404,0.22,0.22,0.36065573770491804,0.22
416,0.8090909090909091,0.8090909090909091,0.8944723618090452,0.8090909090909091
426,0.9113924050632911,0.9113924050632911,0.9536423841059604,0.9113924050632911
427,0.9893048128342246,0.9893048128342246,0.9946236559139785,0.9893048128342246
459,0.8,0.8,0.8888888888888888,0.8
464,0.7777777777777778,0.7777777777777778,0.875,0.7777777777777778
467,0.34375,0.34375,0.5116279069767442,0.34375
468,0.4090909090909091,0.4090909090909091,0.5806451612903226,0.4090909090909091
469,0.2727272727272727,0.2727272727272727,0.4285714285714286,0.2727272727272727
475,0.6923076923076923,0.6923076923076923,0.8181818181818182,0.6923076923076923
476,0.5067567567567568,0.5067567567567568,0.672645739910314,0.5067567567567568
478,0.8846153846153846,0.8846153846153846,0.9387755102040816,0.8846153846153846
479,0.3157894736842105,0.3157894736842105,0.48,0.3157894736842105
480,0.5416666666666666,0.5416666666666666,0.7027027027027027,0.5416666666666666
481,0.53125,0.53125,0.6938775510204082,0.53125
482,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.16666666666666666
483,0.8245614035087719,0.8245614035087719,0.9038461538461537,0.8245614035087719
484,0.2222222222222222,0.2222222222222222,0.36363636363636365,0.2222222222222222
510,0.909433962264151,0.909433962264151,0.9525691699604744,0.909433962264151
511,0.7702702702702703,0.7702702702702703,0.8702290076335878,0.7702702702702703
526,0.21428571428571427,0.21428571428571427,0.35294117647058826,0.21428571428571427
546,0.6428571428571429,0.6428571428571429,0.782608695652174,0.6428571428571429
561,0.0,0.0,0.0,0.0
562,0.0,0.0,0.0,0.0
563,0.7595628415300546,0.7595628415300546,0.8633540372670807,0.7595628415300546
570,0.0,0.0,0.0,0.0
571,0.21428571428571427,0.21428571428571427,0.35294117647058826,0.21428571428571427
587,0.2,0.2,0.3333333333333333,0.2
588,0.2857142857142857,0.2857142857142857,0.44444444444444436,0.2857142857142857
605,0.7446808510638298,0.7446808510638298,0.8536585365853657,0.7446808510638298
617,0.9008746355685131,0.9008746355685131,0.9478527607361963,0.9008746355685131
665,0.9473684210526315,0.9473684210526315,0.972972972972973,0.9473684210526315
666,0.9597701149425287,0.9597701149425287,0.9794721407624634,0.9597701149425287
667,0.0,0.0,0.0,0.0
674,0.6666666666666666,0.6666666666666666,0.8000000000000002,0.6666666666666666
675,0.8865979381443299,0.8865979381443299,0.9398907103825137,0.8865979381443299
680,0.9207317073170732,0.9207317073170732,0.9587301587301588,0.9207317073170732
681,0.6140350877192983,0.6140350877192983,0.7608695652173914,0.6140350877192983
685,0.4166666666666667,0.4166666666666667,0.5882352941176471,0.4166666666666667
688,0.42857142857142855,0.42857142857142855,0.6,0.42857142857142855
690,0.9185185185185185,0.9185185185185185,0.9575289575289574,0.9185185185185185
758,0.9297297297297298,0.9297297297297298,0.9635854341736694,0.9297297297297298
761,1.0,1.0,1.0,1.0
773,0.85,0.85,0.918918918918919,0.85
775,0.725,0.725,0.8405797101449275,0.725
832,0.0,0.0,0.0,0.0
835,0.5,0.5,0.6666666666666666,0.5
843,0.5925925925925926,0.5925925925925926,0.7441860465116279,0.5925925925925926
